
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1965"	"5.783"	"0.502"	"25.27"	"20.715"	"15.465"	"120.555"	"389.394"	"208.866"	"189.907"	"11.538"	"0"	"2.124"
"1966"	"42.364"	"1.011"	"5.555"	"8.789"	"18.933"	"199.26"	"233.119"	"274.778"	"142.499"	"9.78"	"6.335"	"14.207"
"1967"	"8.644"	"0.115"	"71.411"	"10.943"	"10.54"	"194.208"	"328.508"	"517.459"	"238.492"	"11.297"	"0"	"39.97"
"1968"	"17.251"	"13.347"	"26.527"	"23.443"	"8.77"	"132.547"	"333.359"	"284.299"	"259.512"	"49.226"	"3.066"	"2.478"
"1969"	"0.412"	"1.496"	"5.867"	"8.283"	"28.229"	"104.381"	"608.996"	"371.774"	"269.695"	"16.109"	"10.02"	"27.989"
"1970"	"10.48"	"14.858"	"36.977"	"11.797"	"22.136"	"246.952"	"341.449"	"523.251"	"258.399"	"16.588"	"0"	"0"
"1971"	"9.204"	"11.225"	"5.122"	"28.152"	"51.03"	"346.226"	"356.231"	"511.426"	"143.806"	"71.317"	"0"	"0"
"1972"	"5.55"	"38.227"	"0.635"	"19.082"	"5.533"	"100.03"	"398.635"	"386.615"	"195.369"	"69.101"	"18.718"	"1.107"
"1973"	"1.367"	"0.115"	"5.456"	"6.277"	"2.397"	"169.02"	"200.73"	"338.548"	"170.091"	"100.355"	"0.553"	"0.059"
"1974"	"0"	"2.38"	"3.46"	"3.224"	"18.921"	"196.596"	"401.337"	"248.839"	"110.477"	"91.053"	"4.78"	"0"
"1975"	"1.824"	"15.404"	"23.735"	"6.327"	"16.342"	"254.278"	"420.608"	"305.157"	"265.139"	"91.431"	"2.612"	"0"
"1976"	"6.752"	"2.21"	"7.785"	"34.056"	"25.066"	"79.619"	"422.528"	"366.652"	"325.657"	"0.43"	"10.31"	"1.331"
"1977"	"4.965"	"2.128"	"2.552"	"37.241"	"62.597"	"199.424"	"455.36"	"417.348"	"194.228"	"31.298"	"35.425"	"14.686"
"1978"	"16.945"	"42.363"	"39.355"	"44.329"	"13.255"	"306.157"	"310.81"	"422.489"	"260.608"	"29.935"	"7.143"	"16.364"
"1979"	"5.753"	"12.778"	"0.199"	"10.027"	"2.567"	"211.333"	"387.606"	"356.822"	"185.644"	"34.388"	"11.186"	"4.26"
"1980"	"9.052"	"7.378"	"10.717"	"6.006"	"8.996"	"324.21"	"419.706"	"317.527"	"137.536"	"14.773"	"0"	"2.861"
"1981"	"19.615"	"3.239"	"45.746"	"17.6"	"26.729"	"92.975"	"376.535"	"268.805"	"234.638"	"9.43"	"4.865"	"5.358"
"1982"	"14.141"	"10.929"	"47.289"	"15.645"	"28.674"	"162.34"	"343.765"	"490.078"	"288.779"	"7.686"	"16.448"	"2.878"
"1983"	"1.306"	"19.971"	"14.324"	"16.014"	"38.731"	"158.977"	"360.458"	"295.695"	"163.991"	"50.685"	"0.604"	"3.17"
"1984"	"13.431"	"22.09"	"2.614"	"15.331"	"14.722"	"273.697"	"388.62"	"325.846"	"141.629"	"29.09"	"0"	"0"
"1985"	"23.818"	"1.943"	"1.97"	"4.744"	"11.643"	"193.191"	"417.263"	"409.841"	"159.986"	"102.454"	"0"	"0.568"
"1986"	"25.366"	"34.548"	"2.322"	"10.752"	"14.946"	"188.025"	"351.263"	"452.142"	"121.479"	"9.555"	"11.746"	"12.331"
"1987"	"6.353"	"6.82"	"17.011"	"2.976"	"21.733"	"91.064"	"297.367"	"475.62"	"279.078"	"37.176"	"14.677"	"2.026"
"1988"	"2.374"	"10.592"	"27.102"	"19.327"	"25.383"	"211.681"	"365.23"	"273.806"	"171.34"	"25.857"	"3.571"	"0.803"
"1989"	"0.188"	"0.115"	"40.605"	"1.398"	"30.696"	"209.866"	"293.026"	"376.272"	"167.228"	"25.202"	"3.813"	"19.945"
"1990"	"1.984"	"53.408"	"43.106"	"3.02"	"58.44"	"312.303"	"507.292"	"480.482"	"170.464"	"87.701"	"3.078"	"3.57"
"1991"	"14.266"	"4.527"	"34.176"	"15.441"	"5.562"	"194.566"	"381.605"	"485.378"	"170.476"	"19.18"	"3.426"	"16.076"
"1992"	"10.976"	"3.477"	"0.199"	"6.083"	"10.845"	"107.646"	"299.142"	"303.311"	"133.664"	"44.325"	"4.446"	"0"
"1993"	"2.092"	"4.294"	"34.017"	"3.015"	"32.557"	"113.341"	"323.205"	"236.064"	"264.972"	"73.203"	"0"	"0.099"
"1994"	"17.819"	"15.557"	"32.74"	"13.161"	"22.168"	"254.628"	"504.323"	"423.629"	"143.502"	"83.116"	"1.851"	"0"
"1995"	"9.108"	"4.184"	"65.911"	"6.056"	"23.958"	"136.028"	"407.054"	"285.465"	"227.505"	"40.698"	"4.243"	"0"
"1996"	"14.109"	"6.92"	"7.226"	"11.455"	"2.392"	"173.596"	"329.481"	"348.357"	"124.235"	"67.263"	"5.689"	"0"
"1997"	"16.099"	"0.115"	"32.545"	"12.733"	"22.225"	"42.096"	"255.635"	"343.377"	"151.257"	"25.268"	"25.932"	"27.008"
"1998"	"2.493"	"27.321"	"13.467"	"11.446"	"41.529"	"75.794"	"246.536"	"258.398"	"165.55"	"100.165"	"29.46"	"0"
"1999"	"8.744"	"7.818"	"0.199"	"0.115"	"30.141"	"148.587"	"264.668"	"535.716"	"165.272"	"43.479"	"0"	"0"
"2000"	"2.299"	"38.626"	"0.199"	"10.422"	"20.711"	"257.555"	"248.342"	"240.05"	"155.506"	"26.481"	"0"	"0"
"2001"	"0.999"	"0.115"	"34.096"	"14.808"	"26.843"	"148.551"	"331.337"	"437.807"	"77.051"	"65.766"	"7.198"	"0"
"2002"	"48.206"	"6.678"	"7.701"	"10.599"	"21.147"	"142.495"	"201.655"	"430.621"	"118.251"	"49.267"	"5.204"	"0"
